泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
ปิดเทอมเดือนกรกฎาคม	pit thoem duean ka ra ka da khom	七月放假	中 1-2	กรก, คม
สิงหาคม	sing ha khom	八月	中 1-2	คม
โรงพยาบาลรัฐบาล	rong pha ya ban rat tha ban	公立醫院	中 1-2	พยา
โรงพยาบาลรัฐบาลคนไข้เยอะมาก	rong pha ya ban rat tha ban khon khai yeo mak	公立醫院病人非常多	中 1-2	พยา
คนส่วนใหญ่จะบ่นว่ารัฐบาลแย่	khon suan yai cha bon wa rat tha ban yae	大部分的人會抱怨政府很糟糕	中 1-2	บ่น, ส่วน
เอกชน	ek ka chon	私立	中 1-2	ชน
โรงเรียนเอกชนค่าเทอมแพงมาก	rong rian ek ka chon kha thoem phaeng mak	私立學校學費很貴	中 1-2	ชน
คนรวยจะไปโรงพยาบาลเอกชน	khon ruai cha pai rong pha ya ban ek ka chon	有錢人會去私立醫院	中 1-2	ชน, พยา
จะไปโรงพยาบาลเอกชนหรือโรงพยาบาลรัฐบาลคะ	cha pai rong pha ya ban ek ka chon rue rong pha ya ban rat tha ban kha	會去私立醫院還是公立醫院呢？	中 1-2	ชน, พยา
นานาชาติ	na na chat	國際	中 1-2	ชาติ
โรงเรียนนานาชาติ	rong rian na na chat	國際學校	中 1-2	ชาติ
อาหารนานาชาติ	a han na na chat	國際美食	中 1-2	ชาติ
มีอาหารนานาชาติเยอะมาก	mi a han na na chat yeo mak	有很多國際美食	中 1-2	ชาติ
สนามบินนานาชาติ	sa nam bin na na chat	國際機場	中 1-2	ชาติ, สนาม
ที่ไต้หวันสอบเข้ามหาวิทยาลัยยากมั้ย	thi tai wan sop khao ma ha wit tha ya lai yak mai	在台灣考進大學難嗎？	中 1-2	มหา, วิทยา
เค้าจบปริญญาโทจากเมืองนอก	khao chop pa rin ya tho chak mueang nok	他從國外碩士畢業	中 1-2	จบ
จบโทจากเมืองนอก	chop tho chak mueang nok	從國外碩士畢業（簡稱）	中 1-2	จบ
ผู้จัดการเรียนจบปริญญาเอก	phu chat kan rian chop pa rin ya ek	經理是博士畢業	中 1-2	จบ
เริ่มมีอาการปวด	roem mi a kan puat	開始有痛的症狀	中 1-2	ปวด
ภรรยาท้อง	phan ra ya thong	老婆懷孕	中 1-2	ภรร
พวกเราเลิกกันแล้ว	phuak rao loek kan laeo	我們已經分手了	中 1-2	พวก
พวกเขาเลิกกันแล้ว	phuak khao loek kan laeo	他們已經分手了	中 1-2	พวก
โรครกประจำตัว	rok pra cham tua	慢性病	中 1-2	ครก
ตรวจสุขภาพประจำปี	truat suk kha phap pra cham pi	年度健康檢查	中 1-2	ตรวจ
ตรวจ	truat	檢查	中 1-2	ตรวจ
ตรวจกระเป๋าเดินทาง	truat kra pao doen thang	檢查行李	中 1-2	ตรวจ
มาสายบ่อย ๆ	ma sai boi boi	經常遲到（常常）	中 1-2	ๆ
ฉันหวังว่าฉันจะหาเงินได้เยอะ ๆ	chan wang wa chan cha ha nguen dai yeo yeo	我希望我可以賺很多錢（女性自稱）	中 1-2	ๆ
นั่นก็แสดงว่า	nan ko sa daeng wa	那就表示說 / 那就意味著	中 1-2	แสดง
แสดง	sa daeng	表示 / 表達 / 表演	中 1-2	แสดง
นั่นก็แสดงว่าเขาไม่อยากคุยกับเรา	nan ko sa daeng wa khao mai yak khui kap rao	那就表示說他不想要跟我們聊天了	中 1-2	แสดง
อดทนไว้ก่อน	ot thon wai kon	先忍著	中 1-2	ทน, อด
อดทน	ot thon	忍耐	中 1-2	ทน, อด
เก็บไว้ดี ๆ	kep wai di di	好好收著	中 1-2	ๆ
อดทนไว้ก่อน	ot thon wai kon	先忍著（重複確認）	中 1-2	ทน, อด
โรงพยาบาล	rong pha ya ban	醫院	中 1-3	พยา
อยากไปนวด	yak pai nuat	想去按摩	中 1-3	นวด
เดินไม่ไหวแล้ว อยากไปนวดค่ะ	doen mai wai laeo yak pai nuat kha	走不了了，我想去按摩（女）	中 1-3	นวด
ค่าส่วนกลาง	kha suan klang	社區管理費	中 1-3	ส่วน
ส่วนใหญ่	suan yai	大部分	中 1-3	ส่วน
ส่วน	suan	部分	中 1-3	ส่วน
ค่าส่วนกลางเดือนละเท่าไหร่คะ	kha suan klang duean la thao rai kha	管理費一個月多少錢？（女）	中 1-3	ส่วน
อยากไปนวด คุณมีร้านนวดประจำไหม	yak pai nuat khun mi ran nuat pra cham mai	我想去按摩，你有常去的按摩店嗎？	中 1-3	นวด
นั่นก็แสดงว่า	nan ko sadaeng wa	那也表示說	中 1-3	แสดง
แสดงว่า	sadaeng wa	表示說 / 顯然	中 1-3	แสดง
แสดง	sadaeng	表演 / 表示	中 1-3	แสดง
นักแสดง	nak sadaeng	演員	中 1-3	แสดง
ไปดูการแสดง	pai du kan sadaeng	去看表演	中 1-3	แสดง
การแสดงเริ่มกี่โมงคะ	kan sadaeng roem ki mong kha	表演幾點開始？（女）	中 1-3	แสดง
ตักบาตร	tak bat	供僧 / 托缽 / 齋僧	中 1-3	บาตร
บาตร	bat	缽	中 1-3	บาตร
อยากตักบาตร	yak tak bat	想供僧 / 想體驗托缽	中 1-3	บาตร
หมากฝรั่ง	mak fa rang	口香糖	中 1-3	ฝรั่ง
เคี้ยวหมากฝรั่ง	khiao mak fa rang	嚼口香糖	中 1-3	ฝรั่ง
เคี้ยวหมากฝรั่งไม่ได้	khiao mak fa rang mai dai	不能嚼口香糖	中 1-3	ฝรั่ง
ช่วงเลิกงาน รถไฟฟ้าจะแน่นมากค่ะ	chuang loek ngan rot fai fa cha naen mak kha	下班時間捷運會很擠 (女)	中 1-3	ช่วง
จด	chot	記 / 記下來 / 做筆記	中 1-3	จด
จดหมายเลข	chot mai lek	記下號碼	中 1-3	จด
จดเบอร์	chot boe	記下號碼	中 1-3	จด
เลขอารบิก	lek arabik	阿拉伯數字	中 1-3	ร
จดทะเบียน	chot thabian	登記	中 1-3	จด
จดทะเบียนแต่งงาน	chot thabian taengngan	結婚登記	中 1-3	จด
จดทะเบียนบริษัท	chot thabian borisat	登記公司	中 1-3	จด, บริ
บริษัท	borisat	公司	中 1-3	บริ
จดทะเบียนรถ	chot thabian rot	記下車牌	中 1-3	จด
จดจำไว้	chot cham wai	牢記在心 / 記牢在心	中 1-3	จด
จดแล้วก็จำ	chot laeo ko cham	先寫一下然後再用腦記	中 1-3	จด
ตักบาตร	tak bat	托缽供僧	中 1-4	บาตร
ใส่บาตร	sai bat	供僧	中 1-4	บาตร
ทุกเช้าจะเห็นคนตักบาตร	thuk chao cha hen khon tak bat	每天早上會看到人供僧	中 1-4	บาตร
ทุกเช้าจะเห็นคนใส่บาตร	thuk chao cha hen khon sai bat	每天早上會看到人供僧	中 1-4	บาตร
คุณยายตักบาตรทุกวัน	khun yai tak bat thuk wan	奶奶每天供僧	中 1-4	บาตร
หมากฝรั่ง	mak farang	口香糖	中 1-4	ฝรั่ง
เขาชอบเคี้ยวหมากฝรั่ง	khao chop khiao mak farang	เขาชอบเคี้ยวหมากฝรั่ง	中 1-4	ฝรั่ง
ไม่ชอบเคี้ยวหมากฝรั่ง	mai chop khiao mak farang	不喜歡嚼口香糖	中 1-4	ฝรั่ง
รู้สึกแน่นหน้าอก	rusuek naen na ok	覺得胸悶	中 1-4	อก
เคยแน่นหน้าอก	khoei naen na ok	曾經胸悶過	中 1-4	อก
จด	chot	記抄寫	中 1-4	จด
จดทันไหม	chot than mai	抄得及嗎	中 1-4	จด
จดทัน	chot than	抄得及	中 1-4	จด
ฉันไปเอาปากกามาจดก่อน	chan pai ao pakka ma chot kon	我先去拿筆來記	中 1-4	จด
จดทะเบียน	chot thabian	登記註冊	中 1-4	จด
จดทะเบียนบริษัท	chot thabian borisat	公司註冊	中 1-4	จด, บริ
จดทะเบียนร้านอาหาร	chot thabian ran ahan	餐廳註冊	中 1-4	จด
เตรียมตัวสอบเข้ามหาวิทยาลัย	triam tua sop khao mahawitthayalai	準備考大學	中 1-4	มหา, วิทยา
พวกเราลืมมันเถอะ	phuak rao luem man thoe	我們忘了它吧	中 1-4	พวก
นัด 8 น.	nat paet no	約八點	中 1-4	น
ตลาดวันจันทร์วันพุธวันศุกร์	talat wan chan wan phut wan suk	星期一三五的市集	中 1-4	จันทร์
เคยไปตลาดนัดจตุจักรคะ	khoei pai talat nat chatuchak kha	曾經去過恰圖恰市集嗎	中 1-4	จตุ, จักร
รวม	ruam	包含	中 1-4	รวม
รวมอาหารเช้า	ruam ahan chao	包含早餐	中 1-4	รวม
ยังไม่รวมอาหารเช้า	yang mai ruam ahan chao	還沒包含早餐	中 1-4	รวม
รวมภาษี	ruam phasi	含稅	中 1-4	รวม
รวมภาษีแล้ว	ruam phasi laeo	已經含稅了	中 1-4	รวม
รวมแวต	ruam waet	含增值稅	中 1-4	รวม
รวมแวตแล้ว	ruam waet laeo	已經含增值稅了	中 1-4	รวม
รวมค่าบริการ	ruam kha borikan	包含服務費	中 1-4	บริ, รวม
ค่าบริการ 10%	kha borikan sip poesen	百分之十服務費	中 1-4	บริ
รวมแล้ว	ruam laeo	包含了	中 1-4	รวม
รวมคุณแล้ว	ruam khun laeo	包含你在內了	中 1-4	รวม
ยังไม่รวม	yang mai ruam	還沒包含	中 1-4	รวม
ผัดผักรวมมิตร	phat phak ruam mit	綜合炒蔬菜	中 1-4	มิตร, รวม
รวมมิตร	ruam mit	綜合	中 1-4	มิตร, รวม
รวมสีดำรวมกับสีขาวเป็นสีเทา	ruam si dam ruam kap si khao pen si thao	黑色加白色變成灰色	中 1-4	รวม
ฝันเป็นจริง	fan pen ching	夢想成真	中 1-4	จริง
ขอให้ฝันเป็นจริง	kho hai fan pen ching	祝你夢想成真	中 1-4	จริง
พรุ่งนี้ฉันจะเป็นมหาเศรษฐี	phrung ni chan cha pen mahasetthi	明天我會成為億萬富翁	中 1-4	มหา
ชอบยก	chop yok	喜歡舉	中 1-4	ยก
ยกมือ	yok mue	舉手	中 1-4	ยก
ยกมือถามได้	yok mue tham dai	可以舉手發問	中 1-4	ยก
ยกมือไหว้	yok mue wai	舉手合十禮	中 1-4	ยก
ยกโต๊ะ	yok to	搬桌子	中 1-4	ยก
ยกโต๊ะคนเดียวก็ได้	yok to khon diao ko dai	一個人搬桌子也可以	中 1-4	ยก
ยกตัวอย่าง	yok tua yang	舉例	中 1-4	ยก
ยกตัวอย่างให้ฟังหน่อย	yok tua yang hai fang noi	請舉例給我聽	中 1-4	ยก
ยกโทษ	yok thot	原諒	中 1-4	ยก
ยกโทษให้ฉันนะ	yok thot hai chan na	原諒我吧	中 1-4	ยก
ช่วยยกของหน่อย	chuai yok khong noi	請幫忙搬東西	中 1-4	ยก
ช่วยยกกระเป๋าเดินทางหน่อย	chuai yok krapao doen thang noi	請幫忙提行李箱	中 1-4	ยก
ตั้งบริษัท	tang borisat	設立公司	中 1-4	บริ
ตัวแทนบริษัท	tua thaen borisat	公司代表	中 1-4	บริ
ผลิตชิ้นส่วนคอม	ผลิตชิ้นส่วนคอม	生產電腦零件	中 1-4	ส่วน
ชิ้นส่วน	chin suan	零件	中 1-4	ส่วน
ชิ้นส่วนรถยนต์	chin suan rot yon	汽車零件	中 1-4	ยนต์, ส่วน
ชิ้นส่วนเครื่องบิน	chin suan khrueang bin	飛機零件	中 1-4	ส่วน
แผนกผลิต	phaenaek phalit	生產部門	中 1-4	แผนก
แผนก	phaenaek	部門	中 1-4	แผนก
ทำงานแผนกไหน	tham ngan phaenaek nai	在哪個部門工作	中 1-4	แผนก
ส่ง	song	送寄	中 1-4	ส่ง
รถรับส่ง	rot rap song	接送車	中 1-4	ส่ง
ส่งออก	song ok	出口	中 1-4	ส่ง
ส่งออกชิ้นส่วนคอม	song ok chin suan khom	出口電腦零件	中 1-4	ส่ง, ส่วน
ส่งลูกไปเรียน	song luk pai rian	送孩子去上學	中 1-4	ส่ง
ไม่ต้องส่งลูกไปโรงเรียน	mai tong song luk pai rong rian	不用送孩子去學校	中 1-4	ส่ง
ส่งไปเรียนเมืองนอก	song pai rian mueang nok	送去國外讀書	中 1-4	ส่ง
หลง	long	迷路迷戀迷失	中 1-4	หลง
หลงทาง	long thang	迷路	中 1-4	หลง
หลงทางบ่อยๆค่ะ	long thang boi boi kha	經常迷路	中 1-4	หลง
หลงเชื่อ	long chuea	誤信	中 1-4	หลง
อย่าหลงเชื่อ	ya long chuea	別誤信	中 1-4	หลง
หลงรัก	long rak	迷戀	中 1-4	หลง
ขี้หลงขี้ลืม	khi long khi luem	健忘	中 1-4	หลง
คนแก่ขี้หลงขี้ลืม	khon kae khi long khi luem	老人健忘	中 1-4	หลง
ความสามารถ	khwam samat	能力	中 1-4	มารถ
ความสามารถฉันยังไม่พอ	khwam samat chan yang mai pho	我的能力還不夠	中 1-4	มารถ
คุณมีความสามารถอะไรบ้าง	khun mi khwam samat arai bang	你有什麼能力	中 1-4	มารถ
ฉันสามารถพูดภาษาไทยได้	chan samat phut phasa thai dai	我能說泰語	中 1-4	มารถ
สามารถ	samat	能夠	中 1-4	มารถ
พยายาม	phayayam	努力	中 1-4	พยา
ถ้าคุณพยายามก็สามารถทำได้	tha khun phayayam ko samat tham dai	如果你努力就能做到	中 1-4	พยา, มารถ
พยายามเรียน	phayayam rian	努力學習	中 1-4	พยา
พยายามพูด	phayayam phut	努力說	中 1-4	พยา
อธิบาย	athibai	解釋	中 1-4	อธิ
อธิบายให้ฟังหน่อย	athibai hai fang noi	請解釋給我聽	中 1-4	อธิ
อธิบายทีหลัง	athibai thi lang	之後再解釋	中 1-4	อธิ
อ่านก่อนแล้วค่อยอธิบายทีหลัง	an kon laeo khoi athibai thi lang	先讀然後再解釋	中 1-4	อธิ
ไม่รู้จะอธิบายยังไง	mai ru cha athibai yang ngai	不知道要怎麼解釋	中 1-4	อธิ
เขานัดพวกเรา 8.30 น.	khao nat phuak rao paet mong khrueng	他約我們8點半	中 1-5	น, พวก
รวม	ruam	包含/包括	中 1-5	รวม
ราคานี้รวมค่าบริการหรือยัง	rakha ni ruam kha borikan rue yang	這個價格包含服務費了嗎	中 1-5	บริ, รวม
ราคานี้รวมอะไรบ้าง	rakha ni ruam arai bang	這個價格包含什麼	中 1-5	รวม
รถรับส่ง	rot rap song	接送車	中 1-5	ส่ง
รวมรถรับส่งกับอาหารเช้า	ruam rot rap song gap ahan chao	包含接送和早餐	中 1-5	รวม, ส่ง
ราคานี้รวมแวตแล้ว	rakha ni ruam waet laeo	這個價格已含增值稅	中 1-5	รวม
ขอบคุณที่ใช้บริการ	khop khun thi chai borikan	感謝您使用我們的服務	中 1-5	บริ
บริการดีมาก	borikan di mak	服務非常好	中 1-5	บริ
ยกโทษ	yok thot	原諒	中 1-5	ยก
ขอโทษนะ ยกโทษให้ฉันนะคะ	kho thot na yok thot hai chan na kha	對不起，請原諒我	中 1-5	ยก
ไม่ ฉันไม่ยกโทษให้คุณ	mai chan mai yok thot hai khun	不，我不原諒你	中 1-5	ยก
สงสัย	songsai	懷疑/有疑問	中 1-5	สง
ถ้ามีอะไรสงสัย	tha mi arai songsai	如果有任何疑問	中 1-5	สง
ยกมือถามได้นะ	yok mue tham dai na	可以舉手發問	中 1-5	ยก
ยกตัวอย่าง	yok tua yang	舉例	中 1-5	ยก
ช่วยยกตัวอย่างให้ฟังหน่อย	chuai yok tua yang hai fang noi	請舉個例子給我聽聽	中 1-5	ยก
ตั้งบริษัท	tang borisat	設立公司	中 1-5	บริ
ใครตั้งบริษัท TSMC	khrai tang borisat TSMC	誰創立了TSMC	中 1-5	บริ
พวกเราเป็นตัวแทนบริษัท	phuak rao pen tuathaen borisat	我們是公司代表	中 1-5	บริ, พวก
ไปประชุมนานาชาติ	pai prachum nanachat	去參加國際會議	中 1-5	ชาติ
โรงงานของฉันผลิตชิ้นส่วนคอม	rongngan khong chan phalit chin suan khom	我的工廠生產電腦零件	中 1-5	ส่วน
แผนก	phaenaek	部門/科別	中 1-5	แผนก
เขาถูกย้ายไปแผนกบัญชี	khao thuk yai pai phaenaek banchi	他被調去會計部	中 1-5	แผนก
แผนกหูคอจมูก	phaenaek hu kho chamuk	耳鼻喉科	中 1-5	จมูก, แผนก
ต้องไปแผนกสินค้าเด็ก	tong pai phaenaek sinkha dek	必須去兒童用品部	中 1-5	แผนก
หลงทาง	long thang	迷路	中 1-5	หลง
ถ้าคุณหลงทาง	tha khun long thang	如果你迷路了	中 1-5	หลง
หลงเชื่อ	long chuea	誤信	中 1-5	หลง
เขาหลอกคุณ อย่าหลงเชื่อ	khao lok khun ya long chuea	เขาหลอกคุณ อย่าหลงเชื่อ	中 1-5	หลง
หลงรัก	long rak	迷戀	中 1-5	หลง
แฟนคลับหลงรักเค้ามาก	faenkhlap long rak khao mak	粉絲非常迷戀他	中 1-5	หลง
อยากรู้คุณรักฉันจริงไหม	yak ru khun rak chan ching mai	想知道你是不是真的愛我	中 1-5	จริง
อธิบาย	athibai	解釋	中 1-5	อธิ
ช่วยอธิบายให้ฟังหน่อย	chuai athibai hai fang noi	請解釋給我聽	中 1-5	อธิ
อธิบายหลายครั้งแล้ว	athibai lai khrang laeo	已經解釋很多次了	中 1-5	อธิ
ความสามารถ	khwam samat	能力	中 1-5	มารถ
คุณมีความสามารถอะไรบ้าง	khun mi khwam samat arai bang	你有什麼專長/能力	中 1-5	มารถ
ความสามารถของคุณสูงมาก	khwam samat khong khun sung mak	你的能力痕高	中 1-5	มารถ
ความสามารถของคุณยังไม่พอ	khwam samat khong khun yang mai pho	你的能力還不夠	中 1-5	มารถ
พยายาม	phayayam	努力/嘗試	中 1-5	พยา
พยายามลดความอ้วน	phayayam lot khwam uan	努力減肥	中 1-5	พยา, ลด, อ้วน
พยายามออกกำลังกาย	phayayam ok kamlang kai	努力運動	中 1-5	พยา
พยายามต่อไป สู้ๆนะ	phayayam topai susu na	繼續努力，加油喔	中 1-5	พยา
คนไต้หวันส่วนใหญ่แพ้อากาศ	khon taiwan suan yai phae akat	大部分台灣人對天氣過敏	中 1-5	ส่วน
ปวดหัว	puat hua	頭痛	中 1-5	ปวด
สมหวัง	som wang	如願以償	中 1-5	สม
ขอให้สมหวัง	kho hai som wang	祝你如願	中 1-5	สม
หมดหวัง	mot wang	沒希望了	中 1-5	หมด
หมดเวลาแล้ว	mot wela laeo	時間到了	中 1-5	หมด
หมดห่วง	mot huang	放心了 / 不用擔心了	中 1-5	หมด, ห่วง
พ่อแม่หมดห่วง	pho mae mot huang	父母放心了	中 1-5	หมด, ห่วง
หมดอายุ	mot a-yu	過期	中 1-5	หมด
ยังไม่หมดอายุ	yang maiหมดอายุ	還沒過期	中 1-5	หมด
ช่างเอาใจเก่งจริงๆ	chang ao chai keng ching ching	真的很會討好人	中 1-5	จริง, ๆ
ไปเยี่ยมญาติ	pai yiam yat	去探望親戚	中 1-5	ญาติ
อดทนไว้ก่อน	ot thon wai kon	先忍耐一下	中 1-5	ทน, อด
ไว้หนวด	wai nuat	留鬍子	中 1-5	หนวด
ไม่ไว้หนวด	mai wai nuat	不留鬍子	中 1-5	หนวด
หนวดปลาหมึก	nuat pla muek	章魚鬚 / 魷魚鬚	中 1-5	หนวด
จริงหรอ	ching ro	真的嗎	中 1-5	จริง
เราคบกันได้ไหม	rao khop kan dai mai	我們可以交往嗎	中 1-5	คบ
คบกันมา 7 ปีแล้ว	khop kan ma chet pi laeo	交往七年了	中 1-5	คบ
คบกันรักกันแล้วก็เลิกกัน	khop kan rak kan laeo ko loek kan	交往、相愛，然後分手	中 1-5	คบ
คนส่วนใหญ่แพ้อะไร	khon suan yai phae arai	大部分的人對什麼過敏	中 1-6	ส่วน
ฉันคิดว่าคนส่วนใหญ่แพ้อาหารทะเลนะ	chan khit wa khon suan yai phae ahan thale na	我覺得大部分的人對海鮮過敏	中 1-6	ส่วน
ไหว้พระพรหม	wai phra phrom	拜四面佛	中 1-6	พรหม
ขอให้สมหวังทุกอย่าง	kho hai som wang thuk yang	祝萬事如意	中 1-6	สม
พวกเรายังไม่สิ้นหวัง	phuak rao yang mai sin wang	我們還沒有絕望	中 1-6	พวก
หมดอายุ	mot ayu	過期	中 1-6	หมด
ปลากระป๋องหมดอายุหรือยัง	pla krapong mot ayu rue yang	魚罐頭過期了嗎	中 1-6	หมด
ฉันคิดว่าหมดอายุแล้ว	chan khit wa mot ayu laeo	我認為過期了	中 1-6	หมด
อาหารหมดอายุแล้วยังกินได้มั้ย	ahan mot ayu laeo yang kin dai mai	食物過期了還可以吃嗎	中 1-6	หมด
หมดเวลาสอบแล้ว	mot wela sop laeo	考試時間到了	中 1-6	หมด
หมดเวลาเรียนแล้ว	mot wela rian laeo	上課時間到了	中 1-6	หมด
หมดเวลาทำงานแล้ว	mot wela tham ngan laeo	下班時間到了	中 1-6	หมด
หมดห่วง	mot huang	放心（不再擔心）	中 1-6	หมด, ห่วง
ลูกเลี้ยงตัวเองได้พ่อแม่ก็หมดห่วง	luk liang tua eng dai pho mae ko mot huang	孩子能養活自己，父母就放心了	中 1-6	หมด, ห่วง
เด็กอะไรช่างน่ารักจริงๆ	dek arai chang na rak ching ching	這小孩真可愛	中 1-6	จริง, ๆ
ผู้หญิงอะไรช่างเอาใจยากจริงๆ	phu ying arai chang ao chai yak ching ching	這女人真難討好	中 1-6	จริง, ๆ
ร้านนี้ช่างอร่อยจริงๆ	ran ni chang aroi ching ching	這家店真好吃	中 1-6	จริง, ๆ
ญาติพี่น้อง	yat phi nong	親戚	中 1-6	ญาติ
ไปเยี่ยมญาติพี่น้อง	pai yiam yat phi nong	去探望親戚	中 1-6	ญาติ
มีญาติอยู่เมืองไทยมั้ย	mi yat yu mueang thai mai	在泰國有親戚嗎	中 1-6	ญาติ
ไปเยี่ยมญาติพี่น้องที่เมืองไทย	pai yiam yat phi nong thi mueang thai	去泰國探望親戚	中 1-6	ญาติ
ไปเยี่ยมเพื่อนที่โรงพยาบาล	pai yiam phuean thi rong phayaban	去醫院探望朋友	中 1-6	พยา
โรงพยาบาล	rong phayaban	醫院	中 1-6	พยา
นางพยาบาล	nang phayaban	護士	中 1-6	พยา
หมดเวลา	mot wela	時間到了	中 1-6	หมด
หมดเวลาเยี่ยมไข้แล้วค่ะ	mot wela yiam khai laeo kha	探病時間到了	中 1-6	หมด
คุณมีญาติที่เมืองไทยไหม	khun mi yat thi mueang thai mai	你在泰國有親戚嗎	中 1-6	ญาติ
ฉันไม่มีญาติที่เมืองไทยครับ	chan mai mi yat thi mueang thai khrap	我在泰國沒有親戚	中 1-6	ญาติ
อาทิตย์ที่แล้วญาติของผมมาเที่ยวไต้หวัน	athit thi laeo yat khong phom ma thiao taiwan	上個星期我的親戚來台灣玩	中 1-6	ญาติ
อยากลองไว้หนวด	yak long wai nuat	想試著留鬍子	中 1-6	หนวด
คบกัน 7 ปีแล้ว	khop kan chet pi laeo	交往7年了	中 1-6	คบ
ตอนนี้คบกับใครอยู่	ton ni khop kap khrai yu	現在正在跟誰交往	中 1-6	คบ
คบกับคนไทย	khop kap khon thai	跟泰國人交往	中 1-6	คบ
คบกันกี่ปีแล้ว	khop kan ki pi laeo	交往幾年了	中 1-6	คบ
คบกัน 8 ปีแล้ว	khop kan paet pi laeo	交往8年了	中 1-6	คบ
อย่าคบกับเขา	ya khop kap khao	別跟他交往	中 1-6	คบ
อยากคบกับเขา	yak khop kap khao	想跟他交往	中 1-6	คบ
ผมจะไม่คบคนเห็นแก่ตัว	phom cha mai khop khon hen kae tua	我不會跟自私的人交往	中 1-6	คบ
คนจนชีวิตลำบาก	khon chon chiwit lambak	窮人生活辛苦	中 1-6	จน
ชีวิตลำบากจริงๆ	chiwit lambak ching ching	生活真的很辛苦	中 1-6	จริง, ๆ
คนตาบอดน่าสงสาร	khon ta bot na song san	盲人很可憐	中 1-6	สง
ใกล้จะสอบต้องไปส่งลูกเรียนพิเศษ	klai cha sop tong pai song luk rian phiset	快要考試了，必須送孩子去補習	中 1-6	ส่ง
ราคานี้เป็นราคารวม	rakha ni pen rakha ruam	這個價格是包含的價格	中 1-6	รวม
รวมเฟอร์นิเจอร์แล้วนะ	ruam foe ni choe laeo na	已經包含家具了喔	中 1-6	รวม
นอกจากจะมีสระว่ายน้ำแล้วยังมีเกมรูมด้วย	nok chak cha mi sa wai nam laeo yang mi kem rum duai	除了有游泳池之外，還有遊戲室	中 1-6	ม
แถวนั้นสะดวกมากเลย	thaeo nan saduak mak loei	那一帶非常方便	中 1-6	ดวก
มีทั้งโรงพยาบาลโรงแรมโรงเรียนโรงหนัง	mi thang rong phayaban rong raem rong rian rong nang	有醫院、飯店、學校、電影院	中 1-6	พยา
เรียนม.6แล้ว	rian mo hok laeo	念高三了	中 1-6	6, ม
เพื่อที่จะเตรียมสอบเข้ามหาลัยปีหน้า	phuea thi cha triam sop khao maha lai pi na	為了準備明年考大學	中 1-6	มหา
แป๊บๆลูกจะเข้ามหาลัยแล้ว	paep paep luk cha khao maha lai laeo	一下子孩子就要上大學了	中 1-6	มหา
รสชาติพอดีไหม	rot chat pho di mai	味道剛好嗎	中 1-7	ชาติ, รส
รสชาติพอดีแล้ว	rot chat pho di laeo	味道已經剛好了	中 1-7	ชาติ, รส
ส่วนใหญ่มีสระว่ายน้ำ	suan yai mi sa wai nam	大部分有游泳池	中 1-7	ส่วน
เยี่ยมญาติ	yiam yat	探望親戚	中 1-7	ญาติ
เดือนหน้าจะไปเยี่ยมญาติที่อังกฤษ	duan na cha pai yiam yat thi ang krit	下個月要去英國探望親戚	中 1-7	กฤษ, ญาติ
วิธีนี้เยี่ยมจริงๆ	wi thi ni yiam ching ching	這個方法真的很棒	中 1-7	จริง, ๆ
ออกเสียงเยี่ยมจริงๆ	ok siang yiam ching ching	發音真的很棒	中 1-7	จริง, ๆ
ถนนสายนี้ยาวมาก	tha non sai ni yao mak	這條馬路很長	中 1-7	ถนน
เขามาทำงานสายตลอด	khao ma tham ngan sai ta lot	他來工作一直遲到	中 1-7	ตลอด
แป๊บแป๊บเรียนม.ปลายแล้ว	paep paep rian mo plai laeo	一下下就上高中了	中 1-7	ม
เขาเป็นคนมีความสามารถสูง	khao pen khon mi khwam samat sung	他是能力很高的人	中 1-7	มารถ
ผมรับรองว่าเขาเป็นคนมีความสามารถสูง	phom rap rong wa khao pen khon mi khwam samat sung	我保證他是能力很高的人 (男)	中 1-7	มารถ
เขาเป็นเศรษฐีเพราะว่าเขาขยัน	khao pen setthi phro wa khao khayan	他是富翁，因為他很用功	中 1-7	ขยัน, เพราะ
ซื้อบ้านแถมเฟอร์นิเจอร์สนใจไหม	sue ban thaem foe ni choe son chai mai	買房送傢俱，有興趣嗎	中 1-7	สน
ผมสนใจครับ	phom son chai khrap	我有興趣	中 1-7	สน
เพื่อที่จะเตรียมสอบเข้ามหาวิทยาลัย	phuea thi cha triam sop khao mahawitthayalai	為了要準備考大學	中 1-7	มหา, วิทยา
สมหวัง	somwang	如願 / 實現願望	中 1-7	สม
สมหวังสักที	somwang sak thi	終於如願了	中 1-7	สม
เด็กยกกระเป๋า	dek yok krapao	行李員 / 提行李服務生	中 1-7	ยก
เจ้าของร้านกับเด็กเสิร์ฟเป็นคนอีสานกันหมด	chao khong ran kap dek soep pen khon isan kan mot	老闆和服務生全部都是東北部人	中 1-7	หมด
คนอีสานที่เข้ามาทำงานในกรุงเทพส่วนใหญ่เป็นคนหาเช้ากินค่ำ	khon isan thi khao ma tham ngan nai krungthep suan yai pen khon ha chao kin kham	進來曼谷工作的東北部人大部分是勉強糊口的人	中 1-7	ส่วน
แสดงว่า	sa daeng wa	表示說 / 顯然	中 1-7	แสดง
แสดงว่าอยู่อีสานหางานยากใช่ไหม	sa daeng wa yu isan ha ngan yak chai mai	表示說住東北部找工作很難是嗎	中 1-7	แสดง
