泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
ตากฝน ระวังเป็นหวัด	tak fon ra wang pen wat	dākˇ fonˊ ra~ wang ben watˇ	淋雨，小心感冒	derived	
ช่วยกันลดโลกร้อน	Chuai kan lot lok ron	chūayˋ gan lot~ lōkˋ rɔ̄n~	共同減少全球暖化	derived	
อุ๊ย ตกใจหมดเลย	Ui tok chai mot loei	ui~ dokˇ jai motˇ lə̄i	哎呀，嚇死我了	derived	
ว้าย ตกใจหมดเลย	Wai tok chai mot loei	wāi~ dokˇ jai motˇ lə̄i	哇，嚇死我了	derived	
น้ำท่วม	Nam thuam	nām~ tūamˋ	淹水	engine-auto	
โรงงานน้ำท่วม	Rong ngan nam thuam	rōng ngān nām~ tūamˋ	工廠淹水	engine-auto	
โรงพยาบาล	Rong phayaban	rōng pa~ yā bhān	醫院	derived	
รีบพาไปโรงพยาบาล	Rip pha pai rong phayaban	rīpˋ pā bai rōng pa~ yā bhān	趕快帶（他）去醫院	derived	
รถพยาบาล	Rot phayaban	rot~ pa~ yā bhān	救護車	derived	
คุณพยาบาล	Khun phayaban	kun pa~ yā bhān	護理師小姐	derived	
คุณพยาบาลคะ หมอจะมาเมื่อไหร่	Khun phayaban kha mo cha ma muearai	kun pa~ yā bhān ka~ mɔ̄ˊ jaˇ mā mɯ̄aˋ raiˇ	護理師小姐，醫生什麼時候會來？	derived	
อนุบาล	Anuban	aˇ nu~ bhān	幼兒園	derived	
โรงเรียนอนุบาล	Rongrian anuban	rōng rīan aˇ nu~ bhān	幼兒園學校	derived	
อนุบาล 1	Anuban nueng	aˇ nu~ bhān 1	幼兒園小班	derived	
อนุบาล 2	Anuban song	aˇ nu~ bhān 2	幼兒園中班	derived	
อนุบาล 3	Anuban sam	aˇ nu~ bhān 3	幼兒園大班	derived	
ประถม	Prathom	braˇ tomˊ	小學	derived	
ประถมศึกษา	Prathomsueksa	braˇ tomˊ sɯkˇ sāˊ	小學（正式用法）	derived	
ประถม 1	Prathom nueng	braˇ tomˊ 1	小一（另一種說法）	derived	
ประถม 6	Prathom hok	braˇ tomˊ 6	小六	derived	
มัธยม	Matthayom	mat~ yom	中學	derived	
มัธยมต้น	Matthayom ton	mat~ yom donˋ	國中	derived	
มัธยมปลาย	Matthayom plai	mat~ yom blāi	高中	derived	
โรงเรียนเอกชน	Rongrian ekkachon	rōng rīan ēkˇ chon	私立學校	derived	
โรงพยาบาลรัฐบาล	Rongphayaban ratthaban	rōng pa~ yā bhān rat~ bhān	公立醫院	derived	
โรงพยาบาลเอกชน	Rongphayaban ekkachon	rōng pa~ yā bhān ēkˇ chon	私立醫院	derived	
โรงเรียนนานาชาติ	Rongrian nanachat	rōng rīan nā nā chātˋ	國際學校	derived	
สนามบินนานาชาติ	Sanam bin nanachat	saˇ nām bhin nā nā chātˋ	國際機場	derived	
อาหารนานาชาติ	Ahan nanachat	ā hānˊ nā nā chātˋ	國際食物	derived	
ไปเรียนโรงเรียนนานาชาติที่เมืองไทย	Pai rian rongrian nanachat thi mueang thai	bai rīan rōng rīan nā nā chātˋ tīˋ mɯ̄ang tai	在泰國讀國際學校	derived	
สอบเข้าอนุบาล	Sop khao anuban	sɔ̄pˇ kāuˋ aˇ nu~ bhān	考進幼兒園	derived	
สอบเข้าประถม	Sop khao prathom	sɔ̄pˇ kāuˋ braˇ tomˊ	考進小學	derived	
สอบเข้ามัธยมต้น	Sop khao matthayom ton	sɔ̄pˇ kāuˋ mat~ yom donˋ	考進國中	derived	
สอบเข้ามัธยมปลาย	Sop khao matthayom plai	sɔ̄pˇ kāuˋ mat~ yom blāi	考進高中	derived	
มหาวิทยาลัย	Mahawitthayalai	ma~ hāˊ wi~ ta~ yā lai	大學	derived	
มหาลัย	Mahalai	ma~ hāˊ lai	大學（口語）	derived	
จุฬาลงกรณ์มหาวิทยาลัย	Chulalongkon mahawitthayalai	juˇ lā long gɔ̄n ma~ hāˊ wi~ ta~ yā lai	朱拉隆功大學	derived	
มหาวิทยาลัยธรรมศาสตร์	Mahawitthayalai thammasat	ma~ hāˊ wi~ ta~ yā lai tam sātˇ	法政大學	derived	
มหาวิทยาลัยเกษตรศาสตร์	Mahawitthayalai kasetsat	ma~ hāˊ wi~ ta~ yā lai gē satˇ sātˇ	農業大學	derived	
มหาวิทยาลัยมหิดล	Mahawitthayalai mahidon	ma~ hāˊ wi~ ta~ yā lai ma~ hiˇ dhon	瑪希敦大學	derived	
มหาวิทยาลัยเชียงใหม่	Mahawitthayalai chiang mai	ma~ hāˊ wi~ ta~ yā lai chīang maiˇ	清邁大學	derived	
มหาวิทยาลัยเอแบค	Mahawitthayalai e baek	ma~ hāˊ wi~ ta~ yā lai ē bhɛ̄kˇ	易三倉大學	derived	
แล้วเรียนจบแล้วจะต่อโทไหม	Laeo rian chop laeo cha to tho mai	lɛ̄u~ rīan jopˇ lɛ̄~ jaˇ dɔ̄ˇ tō maiˊ	畢業後要繼續唸碩士嗎？	derived	
ต้องเข้าโรงพยาบาลไหม	Tong khao rong phayaban mai	dɔ̄ngˋ kāuˋ rōng pa~ yā bhān maiˊ	需要去醫院嗎？	derived	
ประถม	pra thom	braˇ tomˊ	國小（口語）	derived	
ประถมศึกษา	pra thom suek sa	braˇ tomˊ sɯkˇ sāˊ	國小（正式）	derived	
ประถมเรียนโรงเรียนไหน	pra thom rian rong rian nai	braˇ tomˊ rīan rōng rīan naiˊ	國小讀哪間學校？	derived	
มัธยมต้น	mat tha yom ton	mat~ yom donˋ	國中（全稱）	derived	
อนุบาล	a nu ban	aˇ nu~ bhān	幼稚園	derived	
ตอนอนุบาลนั่งรถโรงเรียนค่ะ	ton a nu ban nang rot rong rian kha	dɔ̄n aˇ nu~ bhān nangˋ rot~ rōng rīan kaˋ	幼稚園的時候坐學校巴士	derived	
ตอนอนุบาลนั่งรถโรงเรียนไปโรงเรียน	ton a nu ban nang rot rong rian pai rong rian	dɔ̄n aˇ nu~ bhān nangˋ rot~ rōng rīan bai rōng rīan	幼稚園的時候坐學校巴士去學校	derived	
โรงพยาบาล	rong pha ya ban	rōng pa~ yā bhān	醫院（正式）	derived	
แถวนี้มีโรงพยาบาลมั้ย	thaeo ni mi rong pha ya ban mai	tɛ̄uˊ nī~ mī rōng pa~ yā bhān mai~	這附近有醫院嗎？	derived	
นอนโรงพยาบาล	non rong pha ya ban	nɔ̄n rōng pa~ yā bhān	住院	derived	
ต้องนอนโรงพยาบาล	tong non rong pha ya ban	dɔ̄ngˋ nɔ̄n rōng pa~ yā bhān	必須住院	derived	
ต้องอยู่โรงพยาบาล	tong yu rong pha ya ban	dɔ̄ngˋ yūˋ rōng pa~ yā bhān	必須待在醫院	derived	
อาการหนักต้องนอนโรงพยาบาล	a kan nak tong non rong pha ya ban	ā gān nakˇ dɔ̄ngˋ nɔ̄n rōng pa~ yā bhān	症狀嚴重必須住院	derived	
อาการหนักต้องอยู่โรงพยาบาล	a kan nak tong yu rong pha ya ban	ā gān nakˇ dɔ̄ngˋ yūˋ rōng pa~ yā bhān	症狀嚴重必須待在醫院	derived	
รถพยาบาล	rot pha ya ban	rot~ pa~ yā bhān	救護車	derived	
ช่วยเรียกรถพยาบาลให้หน่อย	chuai riak rot pha ya ban hai noi	chūayˋ rīakˋ rot~ pa~ yā bhān haiˋ nɔ̄iˇ	請幫我叫救護車	derived	
ต้องให้ทางรถพยาบาล	tong hai thang rot pha ya ban	dɔ̄ngˋ haiˋ tāng rot~ pa~ yā bhān	必須讓路給救護車	derived	
รถพยาบาลถึงแล้ว	rot pha ya ban thueng laeo	rot~ pa~ yā bhān tɯngˊ lɛ̄u~	救護車到了	derived	
คุณพยาบาล	khun pha ya ban	kun pa~ yā bhān	護士小姐/先生（尊稱）	derived	
ผมปวดหัว	phom puat hua	pomˊ būatˇ hūaˊ	我頭痛（男性自稱）	engine-auto	
คุณพยาบาลคะ ฉันรู้สึกปวดหัว	khun pha ya ban kha chan ru suek puat hua	kun pa~ yā bhān ka~ chanˊ rū~ sɯkˇ būatˇ hūaˊ	護士小姐，我覺得頭痛	derived	
คุณพยาบาลครับ อาการเพื่อนผมเป็นยังไงบ้างครับ	khun pha ya ban khrap a kan phuean phom pen yang ngai bang khrap	kun pa~ yā bhān krap~ ā gān pɯ̄anˋ pomˊ ben yang ngai bhāngˋ krap~	護士小姐，我朋友的狀況怎麼樣？（男性問）	derived	
不ต้องเป็นห่วง	mai tong pen huang	不 dɔ̄ngˋ ben hūangˇ	不用擔心	derived	
คลินิกหู คอ จมูก	khli nik hu kho cha muk	kli~ nik~ hūˊ kɔ̄ jaˇ mūkˋ	耳鼻喉科診所	derived	
เคยไปคลินิกหู คอ จมูก มั้ย	khoei pai khli nik hu kho cha muk mai	kə̄i bai kli~ nik~ hūˊ kɔ̄ jaˇ mūkˋ mai~	有去過耳鼻喉科診所嗎？	derived	
ส่วนใหญ่โรงหนังอยู่ในห้าง	suan yai rong nang yu nai hang	sūanˇ yaiˇ rōng nangˊ yūˋ nai hāngˋ	大部分電影院在百貨公司裡	engine-auto	
ฉันพิมพ์ภาษาอังกฤษเร็วมาก	chan phim pha sa ang krit reo mak	chanˊ pim pā sāˊ ang gritˇ rew mākˋ	我打英文很快	derived	
ปิดเทอมเดือนกรกฎาคม	pit thoem duean ka ra ka da khom	bitˇ tə̄m dhɯ̄an gaˇ ra~ dā kom	七月放假	derived	
สิงหาคม	sing ha khom	singˊ hāˊ kom	八月	derived	
โรงพยาบาลรัฐบาล	rong pha ya ban rat tha ban	rōng pa~ yā bhān rat~ bhān	公立醫院	derived	
โรงพยาบาลรัฐบาลคนไข้เยอะมาก	rong pha ya ban rat tha ban khon khai yeo mak	rōng pa~ yā bhān rat~ bhān kon kaiˋ yə~ mākˋ	公立醫院病人非常多	derived	
คนส่วนใหญ่จะบ่นว่ารัฐบาลแย่	khon suan yai cha bon wa rat tha ban yae	kon sūanˇ yaiˇ jaˇ bhonˇ wāˋ rat~ bhān yɛ̄ˋ	大部分的人會抱怨政府很糟糕	derived	
เอกชน	ek ka chon	ēkˇ chon	私立	derived	
โรงเรียนเอกชนค่าเทอมแพงมาก	rong rian ek ka chon kha thoem phaeng mak	rōng rīan ēkˇ chon kāˋ tə̄m pɛ̄ng mākˋ	私立學校學費很貴	derived	
คนรวยจะไปโรงพยาบาลเอกชน	khon ruai cha pai rong pha ya ban ek ka chon	kon rūay jaˇ bai rōng pa~ yā bhān ēkˇ chon	有錢人會去私立醫院	derived	
จะไปโรงพยาบาลเอกชนหรือโรงพยาบาลรัฐบาลคะ	cha pai rong pha ya ban ek ka chon rue rong pha ya ban rat tha ban kha	jaˇ bai rōng pa~ yā bhān ēkˇ chon rɯ̄ˊ rōng pa~ yā bhān rat~ bhān ka~	會去私立醫院還是公立醫院呢？	derived	
นานาชาติ	na na chat	nā nā chātˋ	國際	derived	
โรงเรียนนานาชาติ	rong rian na na chat	rōng rīan nā nā chātˋ	國際學校	derived	
อาหารนานาชาติ	a han na na chat	ā hānˊ nā nā chātˋ	國際美食	derived	
มีอาหารนานาชาติเยอะมาก	mi a han na na chat yeo mak	mī ā hānˊ nā nā chātˋ yə~ mākˋ	有很多國際美食	derived	
สนามบินนานาชาติ	sa nam bin na na chat	saˇ nām bhin nā nā chātˋ	國際機場	derived	
ที่ไต้หวันสอบเข้ามหาวิทยาลัยยากมั้ย	thi tai wan sop khao ma ha wit tha ya lai yak mai	tīˋ daiˋ wanˊ sɔ̄pˇ kāuˋ ma~ hāˊ wi~ ta~ yā lai yākˋ mai~	在台灣考進大學難嗎？	derived	
เค้าจบปริญญาโทจากเมืองนอก	khao chop pa rin ya tho chak mueang nok	kāu~ jopˇ brin yā tō jākˇ mɯ̄ang nɔ̄kˋ	他從國外碩士畢業	derived	
จบโทจากเมืองนอก	chop tho chak mueang nok	jopˇ tō jākˇ mɯ̄ang nɔ̄kˋ	從國外碩士畢業（簡稱）	derived	
ผู้จัดการเรียนจบปริญญาเอก	phu chat kan rian chop pa rin ya ek	pūˋ jatˇ gān rīan jopˇ brin yā ēkˇ	經理是博士畢業	derived	
เริ่มมีอาการปวด	roem mi a kan puat	rə̄mˋ mī ā gān būatˇ	開始有痛的症狀	engine-auto	
ภรรยาท้อง	phan ra ya thong	pan yā tɔ̄ng~	老婆懷孕	derived	
พวกเราเลิกกันแล้ว	phuak rao loek kan laeo	pūakˋ rāu lə̄kˋ gan lɛ̄u~	我們已經分手了	engine-auto	
พวกเขาเลิกกันแล้ว	phuak khao loek kan laeo	pūakˋ kāuˊ lə̄kˋ gan lɛ̄u~	他們已經分手了	engine-auto	
ตรวจสุขภาพประจำปี	truat suk kha phap pra cham pi	drūatˇ sukˇ pāpˋ braˇ jam bī	年度健康檢查	engine-auto	
ตรวจ	truat	drūatˇ	檢查	engine-auto	
ตรวจกระเป๋าเดินทาง	truat kra pao doen thang	drūatˇ graˇ bāuˊ dhə̄n tāng	檢查行李	engine-auto	
มาสายบ่อย ๆ	ma sai boi boi	mā sāiˊ bhɔ̄iˇ bhɔ̄iˇ	經常遲到（常常）	engine-auto	
ฉันหวังว่าฉันจะหาเงินได้เยอะ ๆ	chan wang wa chan cha ha nguen dai yeo yeo	chanˊ wangˊ wāˋ chanˊ jaˇ hāˊ ngə̄n dhaiˋ yə~ yə~	我希望我可以賺很多錢（女性自稱）	engine-auto	
นั่นก็แสดงว่า	nan ko sa daeng wa	nanˋ gɔ̄ˋ saˇ dhɛ̄ng wāˋ	那就表示說 / 那就意味著	derived	
แสดง	sa daeng	saˇ dhɛ̄ng	表示 / 表達 / 表演	derived	
นั่นก็แสดงว่าเขาไม่อยากคุยกับเรา	nan ko sa daeng wa khao mai yak khui kap rao	nanˋ gɔ̄ˋ saˇ dhɛ̄ng wāˋ kāuˊ maiˋ yākˋ kui gapˇ rāu	那就表示說他不想要跟我們聊天了	derived	
อดทนไว้ก่อน	ot thon wai kon	otˇ ton wai~ gɔ̄nˇ	先忍著	derived	
อดทน	ot thon	otˇ ton	忍耐	derived	
เก็บไว้ดี ๆ	kep wai di di	gepˇ wai~ dhī dhī	好好收著	engine-auto	
อดทนไว้ก่อน	ot thon wai kon	otˇ ton wai~ gɔ̄nˇ	先忍著（重複確認）	derived	
โรงพยาบาล	rong pha ya ban	rōng pa~ yā bhān	醫院	derived	
อยากไปนวด	yak pai nuat	yākˋ bai nūatˋ	想去按摩	engine-auto	
เดินไม่ไหวแล้ว อยากไปนวดค่ะ	doen mai wai laeo yak pai nuat kha	dhə̄n maiˋ waiˊ lɛ̄u~ yākˋ bai nūatˋ kaˋ	走不了了，我想去按摩（女）	engine-auto	
ค่าส่วนกลาง	kha suan klang	kāˋ sūanˇ glāng	社區管理費	engine-auto	
ส่วนใหญ่	suan yai	sūanˇ yaiˇ	大部分	engine-auto	
ส่วน	suan	sūanˇ	部分	engine-auto	
ค่าส่วนกลางเดือนละเท่าไหร่คะ	kha suan klang duean la thao rai kha	kāˋ sūanˇ glāng dhɯ̄an la~ tāuˋ raiˇ ka~	管理費一個月多少錢？（女）	engine-auto	
อยากไปนวด คุณมีร้านนวดประจำไหม	yak pai nuat khun mi ran nuat pra cham mai	yākˋ bai nūatˋ kun mī rān~ nūatˋ braˇ jam maiˊ	我想去按摩，你有常去的按摩店嗎？	engine-auto	
นั่นก็แสดงว่า	nan ko sadaeng wa	nanˋ gɔ̄ˋ saˇ dhɛ̄ng wāˋ	那也表示說	derived	
แสดงว่า	sadaeng wa	saˇ dhɛ̄ng wāˋ	表示說 / 顯然	derived	
แสดง	sadaeng	saˇ dhɛ̄ng	表演 / 表示	derived	
นักแสดง	nak sadaeng	nak~ saˇ dhɛ̄ng	演員	derived	
ไปดูการแสดง	pai du kan sadaeng	bai dhū gān saˇ dhɛ̄ng	去看表演	derived	
การแสดงเริ่มกี่โมงคะ	kan sadaeng roem ki mong kha	gān saˇ dhɛ̄ng rə̄mˋ gīˇ mōng ka~	表演幾點開始？（女）	derived	
ตักบาตร	tak bat	dakˇ bātˇ	供僧 / 托缽 / 齋僧	derived	
บาตร	bat	bātˇ	缽	derived	
อยากตักบาตร	yak tak bat	yākˋ dakˇ bātˇ	想供僧 / 想體驗托缽	derived	
หมากฝรั่ง	mak fa rang	mākˇ faˇ rangˋ	口香糖	derived	
เคี้ยวหมากฝรั่ง	khiao mak fa rang	kīau~ mākˇ faˇ rangˋ	嚼口香糖	derived	
เคี้ยวหมากฝรั่งไม่ได้	khiao mak fa rang mai dai	kīau~ mākˇ faˇ rangˋ maiˋ dhaiˋ	不能嚼口香糖	derived	
ช่วงเลิกงาน รถไฟฟ้าจะแน่นมากค่ะ	chuang loek ngan rot fai fa cha naen mak kha	chūangˋ lə̄kˋ ngān rot~ fai fā~ jaˇ nɛ̄nˋ mākˋ kaˋ	下班時間捷運會很擠 (女)	engine-auto	
จด	chot	jotˇ	記 / 記下來 / 做筆記	derived	
จดหมายเลข	chot mai lek	jotˇ māiˊ lēkˋ	記下號碼	derived	
จดเบอร์	chot boe	jotˇ bhə̄	記下號碼	derived	
จดทะเบียน	chot thabian	jotˇ ta~ bhīan	登記	derived	
จดทะเบียนแต่งงาน	chot thabian taengngan	jotˇ ta~ bhīan dɛ̄ngˇ ngān	結婚登記	derived	
จดทะเบียนบริษัท	chot thabian borisat	jotˇ ta~ bhīan bhɔ̄ ri~ satˇ	登記公司	derived	
บริษัท	borisat	bhɔ̄ ri~ satˇ	公司	derived	
จดทะเบียนรถ	chot thabian rot	jotˇ ta~ bhīan rot~	記下車牌	derived	
จดจำไว้	chot cham wai	jotˇ jam wai~	牢記在心 / 記牢在心	derived	
จดแล้วก็จำ	chot laeo ko cham	jotˇ lɛ̄u~ gɔ̄ˋ jam	先寫一下然後再用腦記	derived	
ตักบาตร	tak bat	dakˇ bātˇ	托缽供僧	derived	
ใส่บาตร	sai bat	saiˇ bātˇ	供僧	derived	
ทุกเช้าจะเห็นคนตักบาตร	thuk chao cha hen khon tak bat	tuk~ chāu~ jaˇ henˊ kon dakˇ bātˇ	每天早上會看到人供僧	derived	
ทุกเช้าจะเห็นคนใส่บาตร	thuk chao cha hen khon sai bat	tuk~ chāu~ jaˇ henˊ kon saiˇ bātˇ	每天早上會看到人供僧	derived	
คุณยายตักบาตรทุกวัน	khun yai tak bat thuk wan	kun yāi dakˇ bātˇ tuk~ wan	奶奶每天供僧	derived	
หมากฝรั่ง	mak farang	mākˇ faˇ rangˋ	口香糖	derived	
เขาชอบเคี้ยวหมากฝรั่ง	khao chop khiao mak farang	kāuˊ chɔ̄pˋ kīau~ mākˇ faˇ rangˋ	เขาชอบเคี้ยวหมากฝรั่ง	derived	
ไม่ชอบเคี้ยวหมากฝรั่ง	mai chop khiao mak farang	maiˋ chɔ̄pˋ kīau~ mākˇ faˇ rangˋ	不喜歡嚼口香糖	derived	
รู้สึกแน่นหน้าอก	rusuek naen na ok	rū~ sɯkˇ nɛ̄nˋ nāˋ okˇ	覺得胸悶	derived	
เคยแน่นหน้าอก	khoei naen na ok	kə̄i nɛ̄nˋ nāˋ okˇ	曾經胸悶過	derived	
จด	chot	jotˇ	記抄寫	derived	
จดทันไหม	chot than mai	jotˇ tan maiˊ	抄得及嗎	derived	
จดทัน	chot than	jotˇ tan	抄得及	derived	
ฉันไปเอาปากกามาจดก่อน	chan pai ao pakka ma chot kon	chanˊ bai au bākˇ gā mā jotˇ gɔ̄nˇ	我先去拿筆來記	derived	
จดทะเบียน	chot thabian	jotˇ ta~ bhīan	登記註冊	derived	
จดทะเบียนบริษัท	chot thabian borisat	jotˇ ta~ bhīan bhɔ̄ ri~ satˇ	公司註冊	derived	
จดทะเบียนร้านอาหาร	chot thabian ran ahan	jotˇ ta~ bhīan rān~ ā hānˊ	餐廳註冊	derived	
เตรียมตัวสอบเข้ามหาวิทยาลัย	triam tua sop khao mahawitthayalai	drīam dūa sɔ̄pˇ kāuˋ ma~ hāˊ wi~ ta~ yā lai	準備考大學	derived	
พวกเราลืมมันเถอะ	phuak rao luem man thoe	pūakˋ rāu lɯ̄m man təˇ	我們忘了它吧	engine-auto	
ตลาดวันจันทร์วันพุธวันศุกร์	talat wan chan wan phut wan suk	daˇ lātˋ wan jan wan put~ wan sukˇ	星期一三五的市集	derived	
เคยไปตลาดนัดจตุจักรคะ	khoei pai talat nat chatuchak kha	kə̄i bai daˇ lātˋ nat~ jaˇ duˇ jakˇ ka~	曾經去過恰圖恰市集嗎	derived	
รวม	ruam	rūam	包含	engine-auto	
รวมอาหารเช้า	ruam ahan chao	rūam ā hānˊ chāu~	包含早餐	engine-auto	
ยังไม่รวมอาหารเช้า	yang mai ruam ahan chao	yang maiˋ rūam ā hānˊ chāu~	還沒包含早餐	engine-auto	
รวมภาษี	ruam phasi	rūam pā sīˊ	含稅	engine-auto	
รวมภาษีแล้ว	ruam phasi laeo	rūam pā sīˊ lɛ̄u~	已經含稅了	engine-auto	
รวมแวต	ruam waet	rūam wɛ̄tˋ	含增值稅	engine-auto	
รวมแวตแล้ว	ruam waet laeo	rūam wɛ̄tˋ lɛ̄u~	已經含增值稅了	engine-auto	
รวมค่าบริการ	ruam kha borikan	rūam kāˋ bhɔ̄ ri~ gān	包含服務費	derived	
ค่าบริการ 10%	kha borikan sip poesen	kāˋ bhɔ̄ ri~ gān 10%	百分之十服務費	derived	
รวมแล้ว	ruam laeo	rūam lɛ̄u~	包含了	engine-auto	
รวมคุณแล้ว	ruam khun laeo	rūam kun lɛ̄u~	包含你在內了	engine-auto	
ยังไม่รวม	yang mai ruam	yang maiˋ rūam	還沒包含	engine-auto	
ผัดผักรวมมิตร	phat phak ruam mit	patˇ pakˇ rūam mit~	綜合炒蔬菜	derived	
รวมมิตร	ruam mit	rūam mit~	綜合	derived	
รวมสีดำรวมกับสีขาวเป็นสีเทา	ruam si dam ruam kap si khao pen si thao	rūam sīˊ dham rūam gapˇ sīˊ kāuˊ ben sīˊ tāu	黑色加白色變成灰色	engine-auto	
ฝันเป็นจริง	fan pen ching	fanˊ ben jing	夢想成真	derived	
ขอให้ฝันเป็นจริง	kho hai fan pen ching	kɔ̄ˊ haiˋ fanˊ ben jing	祝你夢想成真	derived	
พรุ่งนี้ฉันจะเป็นมหาเศรษฐี	phrung ni chan cha pen mahasetthi	prungˋ nī~ chanˊ jaˇ ben ma~ hāˊ srētˇ tīˊ	明天我會成為億萬富翁	derived	
ชอบยก	chop yok	chɔ̄pˋ yok~	喜歡舉	derived	
ยกมือ	yok mue	yok~ mɯ̄	舉手	derived	
ยกมือถามได้	yok mue tham dai	yok~ mɯ̄ tāmˊ dhaiˋ	可以舉手發問	derived	
ยกมือไหว้	yok mue wai	yok~ mɯ̄ waiˋ	舉手合十禮	derived	
ยกโต๊ะ	yok to	yok~ do~	搬桌子	derived	
ยกโต๊ะคนเดียวก็ได้	yok to khon diao ko dai	yok~ do~ kon dhīau gɔ̄ˋ dhaiˋ	一個人搬桌子也可以	derived	
ยกตัวอย่าง	yok tua yang	yok~ dūa yāngˋ	舉例	derived	
ยกตัวอย่างให้ฟังหน่อย	yok tua yang hai fang noi	yok~ dūa yāngˋ haiˋ fang nɔ̄iˇ	請舉例給我聽	derived	
ยกโทษ	yok thot	yok~ tōtˋ	原諒	derived	
ยกโทษให้ฉันนะ	yok thot hai chan na	yok~ tōtˋ haiˋ chanˊ na~	原諒我吧	derived	
ช่วยยกของหน่อย	chuai yok khong noi	chūayˋ yok~ kɔ̄ngˊ nɔ̄iˇ	請幫忙搬東西	derived	
ช่วยยกกระเป๋าเดินทางหน่อย	chuai yok krapao doen thang noi	chūayˋ yok~ graˇ bāuˊ dhə̄n tāng nɔ̄iˇ	請幫忙提行李箱	derived	
ตั้งบริษัท	tang borisat	dangˋ bhɔ̄ ri~ satˇ	設立公司	derived	
ตัวแทนบริษัท	tua thaen borisat	dūa tɛ̄n bhɔ̄ ri~ satˇ	公司代表	derived	
ผลิตชิ้นส่วนคอม	ผลิตชิ้นส่วนคอม	paˇ lit~ chin~ sūanˇ kɔ̄m	生產電腦零件	engine-auto	
ชิ้นส่วน	chin suan	chin~ sūanˇ	零件	engine-auto	
ชิ้นส่วนรถยนต์	chin suan rot yon	chin~ sūanˇ rot~ yon	汽車零件	derived	
ชิ้นส่วนเครื่องบิน	chin suan khrueang bin	chin~ sūanˇ krɯ̄angˋ bhin	飛機零件	engine-auto	
แผนกผลิต	phaenaek phalit	paˇ nɛ̄kˋ paˇ lit~	生產部門	derived	
แผนก	phaenaek	paˇ nɛ̄kˋ	部門	derived	
ทำงานแผนกไหน	tham ngan phaenaek nai	tam ngān paˇ nɛ̄kˋ naiˊ	在哪個部門工作	derived	
ส่ง	song	songˇ	送寄	derived	
รถรับส่ง	rot rap song	rot~ rap~ songˇ	接送車	derived	
ส่งออก	song ok	songˇ ɔ̄kˇ	出口	derived	
ส่งออกชิ้นส่วนคอม	song ok chin suan khom	songˇ ɔ̄kˇ chin~ sūanˇ kɔ̄m	出口電腦零件	derived	
ส่งลูกไปเรียน	song luk pai rian	songˇ lūkˋ bai rīan	送孩子去上學	derived	
ไม่ต้องส่งลูกไปโรงเรียน	mai tong song luk pai rong rian	maiˋ dɔ̄ngˋ songˇ lūkˋ bai rōng rīan	不用送孩子去學校	derived	
ส่งไปเรียนเมืองนอก	song pai rian mueang nok	songˇ bai rīan mɯ̄ang nɔ̄kˋ	送去國外讀書	derived	
หลง	long	longˊ	迷路迷戀迷失	derived	
หลงทาง	long thang	longˊ tāng	迷路	derived	
หลงทางบ่อยๆค่ะ	long thang boi boi kha	longˊ tāng bhɔ̄iˇ bhɔ̄iˇ kaˋ	經常迷路	derived	
หลงเชื่อ	long chuea	longˊ chɯ̄aˋ	誤信	derived	
อย่าหลงเชื่อ	ya long chuea	yāˋ longˊ chɯ̄aˋ	別誤信	derived	
หลงรัก	long rak	longˊ rak~	迷戀	derived	
ขี้หลงขี้ลืม	khi long khi luem	kīˋ longˊ kīˋ lɯ̄m	健忘	derived	
คนแก่ขี้หลงขี้ลืม	khon kae khi long khi luem	kon gɛ̄ˇ kīˋ longˊ kīˋ lɯ̄m	老人健忘	derived	
ความสามารถ	khwam samat	kwām sāˊ mātˋ	能力	derived	
ความสามารถฉันยังไม่พอ	khwam samat chan yang mai pho	kwām sāˊ mātˋ chanˊ yang maiˋ pɔ̄	我的能力還不夠	derived	
คุณมีความสามารถอะไรบ้าง	khun mi khwam samat arai bang	kun mī kwām sāˊ mātˋ aˇ rai bhāngˋ	你有什麼能力	derived	
ฉันสามารถพูดภาษาไทยได้	chan samat phut phasa thai dai	chanˊ sāˊ mātˋ pūtˋ pā sāˊ tai dhaiˋ	我能說泰語	derived	
สามารถ	samat	sāˊ mātˋ	能夠	derived	
พยายาม	phayayam	pa~ yā yām	努力	derived	
ถ้าคุณพยายามก็สามารถทำได้	tha khun phayayam ko samat tham dai	tāˋ kun pa~ yā yām gɔ̄ˋ sāˊ mātˋ tam dhaiˋ	如果你努力就能做到	derived	
พยายามเรียน	phayayam rian	pa~ yā yām rīan	努力學習	derived	
พยายามพูด	phayayam phut	pa~ yā yām pūtˋ	努力說	derived	
อธิบาย	athibai	aˇ ti~ bhāi	解釋	derived	
อธิบายให้ฟังหน่อย	athibai hai fang noi	aˇ ti~ bhāi haiˋ fang nɔ̄iˇ	請解釋給我聽	derived	
อธิบายทีหลัง	athibai thi lang	aˇ ti~ bhāi tī langˊ	之後再解釋	derived	
อ่านก่อนแล้วค่อยอธิบายทีหลัง	an kon laeo khoi athibai thi lang	ānˇ gɔ̄nˇ lɛ̄u~ kɔ̄iˋ aˇ ti~ bhāi tī langˊ	先讀然後再解釋	derived	
ไม่รู้จะอธิบายยังไง	mai ru cha athibai yang ngai	maiˋ rū~ jaˇ aˇ ti~ bhāi yang ngai	不知道要怎麼解釋	derived	
